,True Values,Content
0,fake,play full video sa post sa nag agad video na matapos group na may caption na bago bulaklak si army kay na muna sa kasalan nag umpisa couple matapos halos oras lang umabot agad halos nito
1,real,sa state dinner ay dumaan pa sa st luke hospital sa fort para dalawin si jam na matagal nang may request na ni vice ganda si vice lang two ago super busy si kris lang post ni kris sa account na long day night received several regarding jam immediately went st luke want waste time went gown urgency evident tonight privilege meeting mother whose love two sons mine mommy appreciative effort us grateful kindness shown
2,real,people enrolled u government program get counter covid free starting early spring said
3,real,china north korea major ally since two treaty
4,real,bida bill siguro sapat na kakayahan dot para develop magkaroon din sa tao depende sa sa akin pa ba yan e na dot natin para via
5,fake,na video ay pag hack sa anonymous noon pang
6,fake,na pagka dismaya pro government radio host na si sa national police nito na si chief ay sa ni kay red bodyguard aide ni election blower attorney na buhay si sa operasyon sa panayam ni tila kuwestiyon nito kung si tila nag anak ni kamakailan ma interview daw si chief sa radio interview po sa akin ni general ba si attorney ay nag eh naman anak ni red eh bayan kayo ko may bang mag ingay si attorney kung ako eh tao eh common sense ni sa programa ni panayam si attorney para magbigay sa ni ayon kay legal counsel kampo ni rin na lang si sa din ni attorney na magkaklase umano si si sir akala ko ba marunong magbasa dami sulat doon sa sir either directly copy furnished office po doon counsel representative po ni general ay tugma doon sa sagot ni general classmate po magkapareho po linya na na ko kay ni attorney basahin kababayan natin sa isyu ni general ilaglag si pag si kung baho ni mas maganda yan yan tunay na big fish na bayan nakakahiya po taas taas tingin ko sa yo wala kang kaiba sa scalawag na pulis need step show world na kai kaibigan sa hustisya shame umalis na lang po kayo lang much annoying sana madinig ni tatay dalamhati peligro election expedite case show world na making significant change sa loob aba ay ka rin pala sa wolf sheep skin ka believe save face kung ka bilis panoorin panayam kay gen lumaktaw po sa ika minuto para agad bahagi interview kay chief source via
7,fake,paghihinagpis nadarama anak na babae na patay sa damuhan ni sa lola na nawawala na umano na araw kabilang sa larawan ni ay missing flyer lola na si umali na nakatira sa pag asa compound pasig city babae na nakatali kamay paa sa bunganga nakababa pang saplot naman pagkapoot emosyon sa wala na loob samantala pa resulta autopsy upang dahilan pagkamatay matanda
8,real,director revealed masterpiece never die award film festival took eight make
9,real,possibility welcoming foreign
10,fake,sa iba grupo kabataan sa kilos protesta sa tanggapan commission higher education sa city kabataan pagtaas matrikula sa iba eskuwelahan sa kolehiyo subject na panitikan pagbalik mandatory naman video aktwal na sa kung pilit na pulis pintura nang may paint bomb sa gate tanggapan dahilan para pigilan pulis arestuhin din sa video na kasamahan kabataan sa pulis n yo sigaw aktibista paliwanag pulis na na umano tama kabataan kung pigilan pag lang kasi mali na yan saad pulis pagpalag sa grupo kabataan sa miyembro
11,real,one exactly said something like enough time stop drinking insider sa daily mail whatever next thing man blood face cut eyebrow work together thought ni mark sa royal na sagipin si sa dagdag insider mark keep tragedy good chef popular
12,real,wi fi apologize bad connectivity forum fault mine via
13,fake,post erroneously politician mayor congressman governor senator
14,real,k pop dawn engaged
15,real,like mano po legacy family fortune lot fun
16,real,two year old child accidentally peso coin got stuck throat
17,fake,base sa ilang desisyon korte suprema na sa source nakaw yaman
