,True Values,Content
0,fake,resignation ni ay kaagad na ayon kay si ay nasa administrative leave simula pamamaril na ilang araw na protesta
1,real,na si camp umano fire exit apartment hotel sa makati nang mangyari magnitude na lindol sa makati fire exit sira kung malakas lindol may zombie apocalypse patay na saad ni sa twitter post pa pahayag management makati sa isyu kuwento naman sa social media ilang sa kung nang mangyari malakas na lindol engineer ako ko mag site inspection sa makati buti nakababa na ko earthquake ayon sa samantala sa na kasunod lindol sa ilang bahagi metro manila ilang probinsya sa
2,real,na ni pangalan pulitiko na kasama sa sangkot sa na sa talumpati sa pulong national peace order council sa city pangulo pangalan na kabilang sa na aniya na department interior local government kabilang sa listahan pangulo ay ilang gobernador ilang konsehal norte mayor aguinaldo congressman celeste file valley mayor running councilor san mayor mayor mayor running vice governor congressman bay laguna mayor file banos laguna mayor mayor running vice mayor vice mayor running mayor mayor mayor file san pablo city laguna mayor mayor city mayor province board member el nido mayor antique mayor ariel city mayor jed mabilog file antique mayor running vice mayor maasin mayor running vice mayor running mayor san vice mayor file bantayan mayor loot file eastern congressman running congressman norte mayor sur mayor occidental mayor file clarin occidental mayor occidental mayor city mayor running congressman sultan mayor running vice mayor banga south mayor nino south mayor pablo sur mayor luna vice mayor sabal running mayor datu vice mayor running mayor city vice mayor salic file large connection siege sur vice mayor sur mayor former mayor sabal running vice mayor datu vice mayor running mayor large mayor sangki datu mayor kambang vice mayor hadji mayor file rin pangulo na pangalan na na sa office ombudsman pangalan ay pangulo pa aniya iba time lang muna kasi na eh iba want doubly sure really interested election do intention hurt anybody cause failure election certain man serve public iba wag na muna kasi ko sigurado anang pangulo kabilang sa pulong top armed national police drug enforcement agency panoorin ilang pulitiko na kabilang sa
3,real,graduate excited ka na ba sa handa ka na ba sa hamon buhay sa labas eskuwelahan paghahanap trabaho teka ka rin ba na rin mo sa dokumento magsimula ka nang maghagilap hanapbuhay puwes na mo na ni republic act first time job assistance act batas na matulungan job sa government sa sa principal author sponsor batas si senator rin chair sa senate committee labor employment human development ayon kay nasa first time job sa na batas aniya karaniwan nang mahigit job sa pa dokumento trabaho pa kasama rito iba pang gastusin pagkain pamasahe sa bisa po assistance act na po pasanin fresh sa na para makakuha dokumento na sa job application saad ni tulong po handog nito sa pagbubukas yugto fresh sa matagumpay na pagtatapos sa eskuwelahan patungo sa dagdag pa senador sa batas na trabaho sa pagkakataon ay identification kabilang barangay police clearance certificate medical sa government birth marriage certificate transcript tor sa state tax identification number tin unified id card umid upang makakuha exemption aplikante barangay certification patunay na ay job seeker sakop batas graduate kundi pati youth samantala naman kabilang gastusin kaugnay aplikasyon para sa pagkuha professional licensure examination aplikasyon para sa pasaporte dokumento sa department foreign aplikasyon para sa driver license aplikasyon para sa service examination din committee upang bantayan siguruhin pagsunod pamahalaan sa batas mahuli ay sampahan source inquirer
4,fake,agad kakayahan sa pinakamayaman karera sa bansa sa araw pa labanan kung ay yugto agad sa anim na araw may stage na karera
5,fake,cash special mostly used procurement goods counter purchase contrary circular pertinent ra saad sa audit report rin state auditor kinaugalian na maglabas cash advance sa special officer upang operational sa ay regular na gamit serbisyo para sa regular na operasyon navy kabilang sa na milyon representation milyon training milyon iba pang milyon
6,real,kababayan natin kawatan na airport taxi driver sa international terminal laking perwisyo takot kababayan natin si nang pagbantaan na taxi driver kung kagamitan nito baba ka kang sa akin kasi pag sumigaw ka humingi tulong kita ni si ay bumalik sa para semana santa ko nga lang po eight days lang po ako sa ko sa driver awa na ko lang po ko pa nakikita anak ko basta buhay ako mo na dagdag pa ni naman aksyon taxi kung driver na ako kautusan na fleet taxi na pasaway peste sa ko may pangyayari definitely act ni manila international airport authority general manager ayon sa ulat na taxi malapit sa paliparan source
7,real,pamahalaan na overseas ay sa bansa garantiya ay ni department foreign secretary alan peter lunes si sec ay sa kung kay prime minister khalifa bin al khalifa sa palace kung sinabi umano ni al khalifa patuloy na sa ayon sa ulat eagle news sinabi umano lider kay hakbang upang karapatan kapakanan iba pang manggagawa sa bansa umano ni prime minister al khalifa na sa bayan sinabi na handa pa rin silang mas pang manggagawa
8,real,commission human brutal na pagpatay sa na babae sa city si lee ay na buhay tadtad saksak saplot mukha sa lote lunes sa pahayag sinabi na sinuman nararapat na makaranas na karahasan lalo na bata commission human strongly brutal old girl sitio barangay bangkal city one suffer violence especially victim innocent child one suffer violence especially victim innocent child act human dignity must saad ni de umano kay ay pambabastos sa dignidad tao maparusahan nasa nito quick response team para tumulong sa imbestigasyon sa pangyayari sa kriminal act human dignity must end quick response team help investigation said crime dagdag
9,real,huli sa entrapment operation national police criminal investigation detection group presidential commission sina manila bureau internal revenue revenue district officer si manila examiner sa direct bribery sa sa floor building sa intramuros manila ho pera ay umakyat na tao na natin doon sa money na ni deputy director administration ayon sa nais maalis kalakaran sa cut power discretion assessment process simplified tax simplified para kapangyarihan sa discretion kung babayaran mo ay pahayag naman ni commissioner basahin kababayan sa pagkakahuli sa kawani source
