,True Values,Content
0,fake,play full video below sa isang post sa facebook nag varal agad ang video na ito matapos ipost ng duterte s angells group na may caption na bago nagbigay ng bulaklak si mr army kay ms pnp kinasal na muna sila sa isang simpleng kasalan at dito nag umpisa ang kanilang kwentong pinamagatang the swatac couple matapos ang halos oras lang umabot agad ng halos ang views nito 
1,real,pagkagaling sa state dinner ay dumaan pa siya sa st luke s hospital sa the fort para dalawin si jam sebastian na matagal nang may request na makita sila ni vice ganda matatandaang si vice lang ang nakadalaw two weeka ago dahil laging super busy si kris kaya nitong huwebes lang siya nakadalaw ito ang post ni kris sa kanyang instagram account na withlovekrisaquino it was a long day night i received several texts from gretchen fullido regarding jam immediately after malacanang i went to st luke s i didn t want to waste time changing so i went in my gown because the texts urgency was evident tonight i had the privilege of meeting a mother whose love for her two sons mirrors mine mommy maricar was so appreciative of my effort i realized all of us mothers will be grateful for kindness shown to our children 
2,real,people enrolled in the u s government s medicare program can get over the counter covid tests for free starting early spring the centers for medicare medicaid services said 
3,real,china has been north korea s only major ally since the two signed a treaty in 
4,real,pacquiao on bida bill siguro sapat na kakayahan ng dot para i develop ang boracay magkaroon din ng konsultasyon sa mga tao depende sa lgu sa akin kailangan pa ba yan e andiyan na ang dot natin para dyan via 
5,fake,ang kumakalat na video ay naglalaman ng lumang balitang pag hack diumano sa comelec ng grupong anonymous philippines noon pang 
6,fake,nagparamdam na ng pagka dismaya ang kilalang pro government radio host na si erwin tulfo sa inaasal ng philippine national police at ng pinakapinuno nito na si chief oscar albayalde ito ay dahil sa naging komento ni albayalde tungkol kay red santillan bodyguard aide ni election whislte blower attorney glenn chong magugunita na sumakabilang buhay si santillan noong disyembre dahil sa ginawang operasyon ng pnp rizal sa isang panayam ni albayalde tila kini kuwestiyon nito kung bakit si atty chong ang tila nag iingay at hindi kamag anak ni santillan kamakailan noong ma interview daw itong si pnp chief oscar albayalde sa isang radio interview hindi po dito sa akin ang sabi ni general albayalde bakit ba itong si attorney glenn chong ay nag iingay eh hindi naman kamag anak ni red santillan eh bayan kayo ang tatanungin ko may karapatang bang mag ingay si attorney glenn chong kung ako ang tatanungin niyo mayroon eh tao niya iyon eh sus maryosep common sense sabi ni tulfo sa programa ni tulfo nagpaunlak ng panayam si attorney chong para magbigay ng opinsyon sa mga sinasabi ni albayalde ayon kay chong siya ang tumatayong legal counsel ng kampo ni santillan pinabulaanan niya rin na ginagamit niya lang si santillan sa pangangampanya ipinagbigay alam din ni attorney chong na magkaklase umano si albayalde at si carranza sir akala ko ba marunong siyang magbasa ang dami kong sulat doon sa kanya sir either directly addressed to him or copy furnished ang office niya ang nakalagay po doon attoorney glenn chong cpa counsel and representative of the faily of richard santillan ang sinasabi po ni general albayalde ay tugma doon sa mga sagot ni general carranza yung classmate po niya magkapareho po yung linya na pinalalabas nila na pinopulitika ko itong kay santillan sabi ni attorney chong basahin ang reaksoyn ng mga kababayan natin sa kinasasangkutang isyu ni general albayalde indi nya pweding ilaglag si caranza kc pag nilaglag nya kakanta ngayon si caranza kung ano ang baho ni albayalde kaya mas maganda ideath pinalty nayang dalawang yan yan ang tunay na big fish na crimina bayan mauricio mr albayalde nakakahiya po ang mga sinasabi nyo before ang taas taas ng tingin ko sa yo pero ngayon wala kang pinag kaiba sa mga scalawag na pulis you need to step up and show to the world na wlang kai kaibigan sa hustisya what a shame umalis na lang po kayo nakakabuwisit lang so much annoying sana madinig ito ni tatay digong ang dalamhati namin at ang peligro ng election expedite the case of glenn chong and show to the world na you are making a significant change sa loob ng pnp aba ay is ka rin pala sa kanila you are a wolf in a sheep skin nakakatakot ka we cannot believe you anymore save your face kung hindi madadamay ka bilis maqueeh diaz panoorin ang sinasabing panayam kay gen albayalde lumaktaw po sa ika minuto para mapakinggan agad ang bahagi ng interview kay chief pnp albayalde source erwin tulfo via malayang pilipino 
7,fake,matinding paghihinagpis ang nadarama ngayon ng mga kamag anak ng isang anyos na matandang babae na natagpuang patay sa damuhan ibinahagi ni lanie cid sa facebook ang sinapit ng kanyang lola na nawawala na umano ng apat na araw kabilang sa ibinahaging larawan ni lanie ay ang missing flyer ng kanyang lola na si consolacion umali abad na nakatira sa no pag asa compound kalawaan pasig city natagpuan ang matandang babae na nakatali ang kamay at paa nakabusalsal sa bunganga at nakababa ang kanyang pang ibabang saplot umani naman ng matinding pagkapoot at emosyon mula sa mga netizens ang balitang ito dahil wala na umanong pinipili ang mga masasamang loob samantala inaantay pa ang resulta ng autopsy upang matukoy ang dahilan ng pagkamatay ng matanda 
8,real,filipino director martika escobar revealed that her masterpiece leonor will never die which won an award at the sundance film festival took eight years to make 
9,real,dito exec floats possibility of welcoming more foreign investors 
